"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 07, 2020","8.94","8.77","8.94","8.77","24.59K","2.03%"
"Oct 06, 2020","8.77","9.60","9.60","8.77","35.41K","-8.68%"
"Oct 05, 2020","9.60","9.40","9.60","9.33","25.82K","2.12%"
"Oct 04, 2020","9.40","9.28","9.40","9.28","18.45K","0.90%"
"Oct 03, 2020","9.32","9.19","9.32","9.16","8.78K","1.38%"
"Oct 02, 2020","9.19","9.61","9.61","9.09","30.45K","-4.45%"
"Oct 01, 2020","9.62","9.85","10.27","9.62","31.30K","-2.39%"
"Sep 30, 2020","9.85","10.12","10.12","9.76","21.91K","-2.63%"
"Sep 29, 2020","10.12","10.28","10.35","9.86","29.50K","-1.54%"
"Sep 28, 2020","10.28","10.81","10.97","10.28","41.02K","-4.92%"
"Sep 27, 2020","10.81","10.35","10.81","10.30","51.87K","4.74%"
"Sep 26, 2020","10.32","10.72","10.72","10.32","45.63K","-3.69%"
"Sep 25, 2020","10.72","9.88","10.79","9.56","75.68K","8.73%"
"Sep 24, 2020","9.85","7.61","9.85","7.61","88.97K","29.32%"
"Sep 23, 2020","7.62","8.69","8.69","7.62","47.79K","-12.27%"
"Sep 22, 2020","8.69","8.72","8.92","8.63","14.64K","-0.34%"
"Sep 21, 2020","8.72","9.81","9.81","8.72","24.26K","-11.11%"
"Sep 20, 2020","9.81","10.12","10.42","9.81","12.90K","-3.08%"
"Sep 19, 2020","10.12","10.09","10.23","10.09","12.78K","0.24%"
"Sep 18, 2020","10.09","11.03","11.03","9.93","21.83K","-8.46%"
"Sep 17, 2020","11.03","10.73","11.37","10.64","31.87K","2.79%"
"Sep 16, 2020","10.73","10.96","11.08","10.73","14.15K","-2.13%"
"Sep 15, 2020","10.96","12.06","12.08","10.96","25.34K","-9.11%"
"Sep 14, 2020","12.06","11.98","12.06","11.76","16.83K","0.63%"
"Sep 13, 2020","11.98","12.74","13.03","11.98","30.10K","-5.70%"
"Sep 12, 2020","12.71","12.54","12.71","12.32","18.36K","1.31%"
"Sep 11, 2020","12.54","12.51","12.54","12.11","7.56K","0.27%"
"Sep 10, 2020","12.51","12.33","13.05","12.33","20.56K","1.48%"
